what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.parser,1.6.3.2010100513,"org.python.pydev.parser",1294732953337
started,bundle,org.python.pydev.red_core,1.6.3.2010100513,"org.python.pydev.red_core",1294732953458
started,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1294732953613
started,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1294732953695
started,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1294732953746
started,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1294732953889
started,bundle,org.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.refactoring",1294732954242
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1294732954388
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1294732954418
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1294732955142
error,log,,,"No message gotten.",1294732956317
started,bundle,org.python.pydev.jython,1.6.3.2010100513,"org.python.pydev.jython",1294732961958
started,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1294732962404
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1294732963868
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1294732963942
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1294732964354
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1294732964402
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294732964480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732964508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732964837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732964890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732964966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732964986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732965097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732972099
